job_position,job_company,job_address,job_salary,job_welfare,job_year,job_education,company_num,company_business,job_detail
0,数据产品经理,上海答派体育文化发展有限公司,上海-闵行区,1.8-2.5万/月,五险一金/周末双休/扁平管理/晋升空间大/年终奖金,2年经验,本科,50-150人,"互联网/电子商务,娱乐/休闲/体育","1、根据公司发展战略目标，负责公司的产品规划设计并推动技术团队将产品落地；
2、完成需求调研，收集整理来自业务方需求，系统化进行整理与评估，合理规划产品方案，
完成相关文档与系统原型图；
3、把控项目进度，负责与团队紧密配合，推进产品评审、产品设计、技术研发跟进、产品
测试、产品上线等环节；
4、跟踪上线产品的市场效果、用户反馈，收集和主动挖掘改进需求，根据业务需要持续改
进产品，提升用户体验；
任职要求
1、信息类相关专业，本科以上学历，2年以上大数据产品工作经验或大数据研发经验；
2、丰富的需求分析、产品规划设计经验，能挖掘客户的痛点；
3、熟练掌握Axure、visio、mindmanager等产品原型工具；
4、具有较强的逻辑思维和执行力、沟通协调力和良好的团队精神，能和设计、研发、实施
等人员紧密配合，协调各方面工作；
5、有良好的PPT制作、具备较强的产品宣介能力者优先；
"
1,数据专员实习生,南京睿晖数据技术有限公司,南京-栖霞区,2-3千/月,五险一金/员工旅游/专业培训/年终奖金/弹性工作/定期体检/免费班车/节日福利,在校生/应届生,大专,50-150人,计算机软件,"20届学生，可以全职实习的~
实习薪资2000一个月，不包食宿
负责图像、文本和语音数据处理工作，
负责协助项目负责人对标注人员的进行培训和答疑工作，  
负责部门的数据的维护和更新 ，完成指派的其他相关工作
有图像、语音或文本数据的标注、加工等工作经验者优先
工作环境好，领导nice
下午茶、班车、节日礼品等
"
2,数据统计员,河北金力新能源科技股份有限公司,邯郸,2-4千/月,五险一金/绩效奖金/年终奖金/免费班车/定期体检/专业培训/餐饮补贴/免费住宿,2年经验,大专,500-1000人,新能源,"任职资格
1.大专及以上学历
2.有数据统计或生产制造行业工作经验者优先考虑
3.熟练使用办公软件
4.对工作细心、认真、仔细，有责任心、敬业精神
5.对数字敏感，有独立的数据统计和分析能力，具备规范与严谨的统计操作技能
工作职责
1.负责车间相关数据录入及统计工作
2.生产相关数据统计和分析，各类报表的填写和分析
3.做好统计资料的保密和归档工作
4.负责车间工具及办公用品的申报、领用、发放、记录、盘点及管理工作
5.负责工作中必要的信息沟通、传递、协调工作
6.其他领导交待的事宜
电话：0310-6700055
"
3,数据后台产品专员,成都哆可梦网络科技有限公司广州分公司,广州-天河区,5-8千/月,五险一金/餐饮补贴/补充医疗保险/绩效奖金/年终奖金,1年经验,大专,150-500人,网络游戏,"      岗位职责：
      1、负责公司各后台的需求调研、业务流程设计、产品规划及功能设计，独立编写产品相关需求文档；
      2、负责产品各个迭代周期的项目管理，确保产品开发至最终上线，对进度质量负责；
      3、对产品数据敏感度高，能够通过分析数据主动发现问题并推动解决。
      4、具备清晰缜密的逻辑思维能力/较强的数据分析能力/良好的团队协作和沟通表达能力；
      5、高度的责任感，注重细节，执行力强，能承受较强的工作压力
      任职要求：
     1、大专以上学历，数学、统计学相关专业优先
     2、熟练电脑操作及Office办公软件
     3、具备良好的抗压能力，具备较强的分析思维和运营意识
     4、有较好的沟通表达理解能力和团队合作能力
     5、有后台类相关工作经验优先
"
4,数据分析师,广东嘉友食品有限公司,东莞-石碣镇,5-8千/月,包吃/加班补贴/住房补贴/绩效奖金/包住宿/带薪年假/全勤奖/节日福利/社会保险,2年经验,本科,500-1000人,快速消费品(食品、饮料、化妆品),"一：业务诊断，确定分析的维度与类型；
   1）对公司财务、人事、销售、采购、仓储、生产业务进行诊断；
   2）确定业务系统数据分析的要素和关键评价指标；
   3）固化数据分析的类型和模型关适时优化；
二：清洗提炼基础数据；
   1）对分析所需的基础数据确定其数据库字段属性；
   2）对数据库数据按照分析的要求进行清洗和整理形成中间数据仓库；
   3）协调信息技术补充完善分析模型中所缺少的数据及其软件采集手段；
三：具体业务事件数据分析；
   1）根据业务需求固化分析模型和业务报表；
   2）分析业务的局限性和亮点，找出对应的优化路径并失去问题的解决；
   3）通过智能分析的软件工具高效支持业务方的过滤、钻取、挖掘等查询需求；
四：行业发展的大数据分析；
   1）跟踪食品行业大数据平台，获取可用信息；
   2）获取电商平台的销售数据进行业务分析；
   3）配合市场调查的大数据分析；
五：领导交办的其他工作；
职务要求：
1、本科以上学历，计算机、金融、应用数学、数据挖掘等相关专业；
2、年龄 29 岁以下，2 年以上数据分析工作经验；
3、对数据敏感，善于通过数据挖掘数据背后的规律；
4、数据库及SQL操作，Excel高级技能，熟悉1-2种BI工具，分析报告的编制与呈现。
"
5,产品总监（大数据方向）,中国高科集团股份有限公司,北京-海淀区,1.5-2万/月,五险一金/周末双休/节日福利/岗位晋升/体检/绩效奖金,2年经验,本科,500-1000人,"教育/培训/院校,金融/投资/证券","工作职责:
1、紧跟大数据行业发展，深入研究大数据技术，预测行业发展趋势；
2、负责大数据专业方向产品体系梳理与搭建，制定相关产品研发规划与市场策略；
3、主导实施大数据教育产品的需求分析、产品设计及内容开发，建设完善的教育产品解决方案；
4、跟踪最新产品和技术发展动态，收集、研究所负责行业客户的需求，根据行业特点，实施教育行业解决方案的迭代；
5、为客户、合作高校、销售团队提供行业相关业务交流与赋能培训
任职资格:
1、统招本科及以上学历，大数据相关技术背景出身，熟练掌握Hadoop、Hive、Spark等技术，有大型项目经验者优先；
2、熟悉教育行业背景与产品模式，有本科、高职院校合作经验优先；
3、熟悉大数据相关的产品开发，有担任过教育行业的产品经理者优先；
4、具备3年及以上的统计分析或数据挖掘经验；有挖掘工具使用经验者优先，如SPSS、SAS、R、Python其中之一；
5、具有较强的沟通能力、承压能力、表达能力及新技术、新方向学习能力，能够适应出差；
"
6,海外游戏运营（数据分析） (MJ000154),上海沐瞳科技有限公司,上海-闵行区,1.5-2万/月,五险一金/餐饮补贴/弹性工作/定期体检/专业培训/员工旅游/绩效奖金,2年经验,本科,500-1000人,"网络游戏,互联网/电子商务","岗位职责：
1、构建并完善游戏项目运营数据分析体系，并负责日常游戏相关业务的数据整理、统计、分析，撰写和汇总分析报告；
2、针对游戏项目进行专项数据分析，包括并不限于用户价值、流失、游戏生态、活动版本效果、用户画像分析等，为运营决策、产品方向、销售策略提供数据支持
3、研究游戏的用户精细化运营，如用户画像的应用等
4、对产品、运营、市场提供数据分析支持；
5. 沉淀分析思路与框架， 提炼数据产品需求，数据技术与开发团队协作进行数据建模工作，推动完善游戏精细化运营数据分析体系；完成理念、技能储备，工具培训。
任职要求：
1、2年以上工作经验，至少1年以上从事游戏数据分析工作，对数据分析感兴趣，
2、拥有手游完整项目数据分析经验，有丰富的跨团队、部门的项目资源整合能力，能够独立开展研究项目
2、具备良好的逻辑思考和分析能力，对数据敏感，熟悉数据收集，数据分析，数据建模和数据挖掘方法
3、熟悉数据处理，服务器构架模式，mysql数据库，对SQL操作熟练，精通数据分析、掌握数据挖掘基本原理和主要算法（决策树、聚类、关联规则、回归分析等）；
4、熟练操作办公软件，熟练掌握Excel、SQL及至少一种分析软件（SPSS、SAS、R等）
5、具有良好的团队协作能力、语言表达能力;
6、有游戏项目数据模型建立和运营经验、精细化数据运营经验、产品完整周期的数据分析规划经验优先
"
7,数据分析师,深圳小鹅网络技术有限公司,深圳-南山区,2-4万/月,五险一金/节日福利/年终奖金/不定期下午茶/带薪年假,3-4年经验,本科,150-500人,"互联网/电子商务,计算机软件","岗位职责：
1. 运用多种分析手段和方法（如海量数据分析和挖掘手段、资料收集&分析、行业研究、竞争分析等），探索商业模式，发现商业机会，诊断业务问题、评估运营效果等，在战略、战术上提供决策支持和参考；
2. 根据业务发展的情况，能够独立搭建出准确反映业务运作健康状况的业务数据分析体系，对数据进行建模挖掘，并持续优化，帮助业务线发现、分析和解决问题。
3. 带领商业分析团队共同推动数据化运营工作的发展，完成基于数据分析的市场研究、全业务生命周期的数据分析、 运营效果的数据化分析等，进而有效提升业务策略的合理性、有效性，提升销售效能、提升业务运营效率。
任职要求：
1. 5年以上相关工作经验（商业/数据分析、数据挖掘）；
2.计算机、经济学、分析学、数学、统计等相关专业本科及以上学历，深刻理解并熟练掌握互联网业务的数据/业务分析方法；
3. 熟练掌握SQL语言，熟练掌握hive、spark、python、R语言、SPSS、SAS一种或者多种；
4. 对数据有足够的敏感性，有较强的结构化思维和逻辑分析能力;
5.有团队管理经验优先，有大型集团数据治理相关项目经验优。
 加分项：
6、在咨询公司、投资公司或证券公司从事过数据分析工作优先；
我们是小鹅通，一家专注于SaaS服务的互联网公司，热切期待你加入我们，一起创造更加精彩的未来！
我们的创始团队主要来自腾讯，他们技术扎实，是客户口中的“大牛“，收获粉丝无数。我们拥有一支背景丰富的高管团队， 既有来自500强和海外名企的精英骨干，也有一路和公司共同成长的生力军。公司文化开放包容，客户**、诚信、拥抱变化、专业、团结合作、责任是我们奉行的价值观。
【人生在世，钱不够用可不行！】
我们准备了业内具有竞争力的薪资，以及相当丰厚的年终奖。只要你足够优秀，加入小鹅通保证你拿到手软！
【想学习成长？你来对地方了！】
我们提供日益完善的培训机制：体贴细致的新人入职培训，帮你更快融入团队；岗位1V1导师制，让行业大牛来陪伴你快速成长；此外还有针对管理层的能力培训，帮你提升管理水平、部门内部经验分享，让大家集思广益共同成长！
【想成为行业**？我们用晋升来认可你的能力！】
从职场新人到团队骨干，我们为快速发展的你，提供一个良好的晋升机会平台。还是那句话：心有多大，舞台就有多大！
【至于日常福利什么的？嘿嘿嘿~】
人手必备五险一金，保障你的基本权益！
商业保险、年度体检通通安排上，时时刻刻关爱你的健康！
更多的节日福利和生日礼金应有尽有，只因我们想陪你度过每个值得铭记的瞬间！
此外还有带薪年假、零食下午茶和定期团建。每周三我们还会开展丰富的社团活动，舞蹈、篮球、足球、狼人杀、剧本杀等等，还有更多有趣的社团等你来创建，我们相信劳逸结合才能一起走得更远！
【最后的最后，还有...】
小鹅通全体成员，热切期待优秀的你赶快加入我们，一起加速奔跑努力成长，为整个行业和社会创造更多价值，实现你的个人发展和一腔抱负。相信我们的团队，一定配得上你的才华！
"
8,数据专员,蒲德（上海）时装贸易有限公司,上海-徐汇区,6-8千/月,五险一金/员工旅游/交通补贴/年终奖金/绩效奖金/专业培训/弹性工作/餐饮补贴,1年经验,大专,1000-5000人,服装/纺织/皮革,"岗位要求：
1、每日更新店铺销售达成及活动完成情况；
2、每日更新销售同比数据；
3、每日核对销售异常数据（根据活动内容）；
4、每周商品销售周报数据更新（周销售/TOP/消化率/库存）；
5、不定时提供其他部门数据支持，及各类表格的建模。
任职资格 ：
1、本科以上学历，具有服装公司销售运营数据分析相关工作经验，熟知门店销售流程；
2、能熟练运用EXCEL等办公软件及ERP系统，必须要会成熟的数据挖掘工具、数据模型搭建；
3、具有有良好的表达沟通能力和较强的团队合作精神；
4、具有高度的工作热情和责任感。
"
9,数据分析师,广州三一工程机械有限公司,广州-海珠区,1-1.6万/月,五险一金/周末双休,3-4年经验,本科,少于50人,"机械/设备/重工,互联网/电子商务","岗位职责：
1、负责公司全盘数据分析，为整体数据需求提供支持，数据指标体系搭建；
2、对内部数据、平台数据、行业数据进行分析，为平台提供决策支持；
3、整合平台数据，设计数据结构，规划和设计数据指标体系、数据分析体系、用户及策略洞察体系的搭建和维护；
4、定期抓取数据并建立数据管理系统，协助各组进行数据统计与分析模型建立，提供数据支撑；
5、独立完成数据分析工作，包括数据提取、分析、挖掘和报告编写等工作；
6、具备数据分析的基本方法论，提炼数据产品需求，形成方案并推进落地。
任职要求：
1、985/211本科及以上学历，商业数据分析、统计学、数学等相关专业；
2、3年以上数据统计和运营分析经验，熟悉电商行业运作模式，熟悉互联网分析模型及商业分析模型，有电商北京优先；
3、具备较强文字分析和数据处理能力，能熟练完成抽取数据、制作图表、数字展示等流程；
4、有较强的逻辑分析能力和独立思考能力，定义问题和解决问题的能力。
"
