,city,location
0,上海,华东地区
1, 南京,华东地区
2, 无锡,华东地区
3, 徐州,华东地区
4, 常州,华东地区
5, 苏州,华东地区
6, 南通,华东地区
7, 连云港,华东地区
8, 淮安,华东地区
9, 盐城,华东地区
10, 扬州,华东地区
11, 镇江,华东地区
12, 泰州,华东地区
13, 宿迁,华东地区
14, 杭州,华东地区
15, 宁波,华东地区
16, 温州,华东地区
17, 嘉兴,华东地区
18, 湖州,华东地区
19, 绍兴,华东地区
20, 金华,华东地区
21, 衢州,华东地区
22, 舟山,华东地区
23, 台州,华东地区
24, 丽水,华东地区
25, 合肥,华东地区
26, 芜湖,华东地区
27, 蚌埠,华东地区
28, 淮南,华东地区
29, 马鞍山,华东地区
30, 淮北,华东地区
31, 铜陵,华东地区
32, 安庆,华东地区
33, 黄山,华东地区
34, 滁州,华东地区
35, 阜阳,华东地区
36, 宿州,华东地区
37, 巢湖,华东地区
38, 六安,华东地区
39, 亳州,华东地区
40, 池州,华东地区
41, 宣城,华东地区
42, 福州,华东地区
43, 厦门,华东地区
44, 莆田,华东地区
45, 三明,华东地区
46, 泉州,华东地区
47, 漳州,华东地区
48, 南平,华东地区
49, 龙岩,华东地区
50, 宁德,华东地区
51, 南昌,华东地区
52, 景德镇,华东地区
53, 萍乡,华东地区
54, 九江,华东地区
55, 新余,华东地区
56, 鹰潭,华东地区
57, 赣州,华东地区
58, 吉安,华东地区
59, 宜春,华东地区
60, 抚州,华东地区
61, 上饶,华东地区
62, 济南,华东地区
63, 青岛,华东地区
64, 淄博,华东地区
65, 枣庄,华东地区
66, 东营,华东地区
67, 烟台,华东地区
68, 潍坊,华东地区
69, 威海,华东地区
70, 济宁,华东地区
71, 泰安,华东地区
72, 日照,华东地区
73, 莱芜,华东地区
74, 临沂,华东地区
75, 德州,华东地区
76, 聊城,华东地区
77, 滨州,华东地区
78, 菏泽,华东地区
