,city,location
0,郑州,华中地区
1, 开封,华中地区
2, 洛阳,华中地区
3, 阳平,华中地区
4, 平顶,华中地区
5, 平顶山,华中地区
6, 焦作,华中地区
7, 鹤壁,华中地区
8, 新乡,华中地区
9, 安阳,华中地区
10, 濮阳,华中地区
11, 许昌,华中地区
12, 漯河,华中地区
13, 三门峡,华中地区
14, 南阳,华中地区
15, 商丘,华中地区
16, 信阳,华中地区
17, 周口,华中地区
18, 驻马店,华中地区
19, 武汉,华中地区
20, 黄石,华中地区
21, 襄樊,华中地区
22, 十堰,华中地区
23, 荆州,华中地区
24, 宜昌,华中地区
25, 荆门,华中地区
26, 鄂州,华中地区
27, 孝感,华中地区
28, 黄冈,华中地区
29, 咸宁,华中地区
30, 随州,华中地区
31, 恩施,华中地区
32, 长沙,华中地区
33, 株洲,华中地区
34, 湘潭,华中地区
35, 衡阳,华中地区
36, 邵阳,华中地区
37, 常德,华中地区
38, 张家界,华中地区
39, 益阳,华中地区
40, 郴州,华中地区
41, 永州,华中地区
42, 怀化,华中地区
43, 娄底,华中地区
44, 湘西,华中地区
