,city,location
0,西安,西北地区
1, 铜川,西北地区
2, 宝鸡,西北地区
3, 咸阳,西北地区
4, 渭南,西北地区
5, 延安,西北地区
6, 汉中,西北地区
7, 榆林,西北地区
8, 安康,西北地区
9, 商洛,西北地区
10, 兰州,西北地区
11, 嘉峪关,西北地区
12, 金昌,西北地区
13, 白银,西北地区
14, 天水,西北地区
15, 武威,西北地区
16, 张掖,西北地区
17, 平凉,西北地区
18, 酒泉,西北地区
19, 庆阳,西北地区
20, 定西,西北地区
21, 陇南,西北地区
22, 临夏,西北地区
23, 甘南,西北地区
24, 西宁,西北地区
25, 海东,西北地区
26, 海北,西北地区
27, 黄南,西北地区
28, 海南,西北地区
29, 果洛,西北地区
30, 玉树,西北地区
31, 海西,西北地区
32, 银川,西北地区
33, 石嘴山,西北地区
34, 吴忠,西北地区
35, 固原,西北地区
36, 中卫,西北地区
37, 乌鲁木齐,西北地区
38, 克拉玛依,西北地区
39, 吐鲁番,西北地区
40, 哈密,西北地区
41,昌吉,西北地区
42,博尔塔拉,西北地区
43, 巴音郭楞,西北地区
44,阿克苏,西北地区
45, 和田,西北地区
46, 喀什,西北地区
47, 克孜勒苏柯尔克孜,西北地区
48,伊犁,西北地区
49, 塔城,西北地区
50, 阿勒泰,西北地区
