,city,location
0,成都,西南地区
1, 自贡,西南地区
2, 攀枝花,西南地区
3, 泸州,西南地区
4, 德阳,西南地区
5, 绵阳,西南地区
6, 广元,西南地区
7, 遂宁,西南地区
8, 内江,西南地区
9, 乐山,西南地区
10, 南充,西南地区
11, 宜宾,西南地区
12, 广安,西南地区
13, 达州,西南地区
14, 眉山,西南地区
15, 雅安,西南地区
16, 巴中,西南地区
17, 资阳,西南地区
18, 阿坝甘孜凉山,西南地区
19, 贵阳,西南地区
20, 六盘水,西南地区
21, 遵义,西南地区
22, 安顺,西南地区
23, 铜仁,西南地区
24, 毕节,西南地区
25, 黔西南,西南地区
26, 黔东南,西南地区
27, 黔南,西南地区
28, 昆明,西南地区
29, 曲靖,西南地区
30, 玉溪,西南地区
31, 保山,西南地区
32, 昭通,西南地区
33, 丽江,西南地区
34, 普洱,西南地区
35, 临沧,西南地区
36, 文山,西南地区
37, 红河,西南地区
38, 河西,西南地区
39, 西双版纳,西南地区
40, 楚雄,西南地区
41, 大理,西南地区
42, 德宏,西南地区
43, 怒江,西南地区
44, 迪庆,西南地区
45, 拉萨,西南地区
46, 昌都,西南地区
47, 山南,西南地区
48, 日喀则,西南地区
49, 那曲,西南地区
50, 阿里,西南地区
51, 林芝,西南地区
52, 重庆,西南地区
