job_year,job_education
0,2年经验,本科
1,在校生/应届生,大专
2,本科,无学历要求
3,2年经验,大专
4,1年经验,大专
5,2年经验,本科
6,2年经验,本科
7,2年经验,本科
8,3-4年经验,本科
9,1年经验,大专
10,3-4年经验,本科
11,3-4年经验,本科
12,在校生/应届生,本科
13,1年经验,本科
14,无需经验,本科
15,本科,无学历要求
16,2年经验,本科
17,2年经验,本科
18,2年经验,本科
19,大专,无学历要求
20,2年经验,大专
21,在校生/应届生,本科
22,3-4年经验,本科
23,在校生/应届生,大专
24,在校生/应届生,本科
25,本科,无学历要求
26,大专,无学历要求
27,3-4年经验,本科
28,2年经验,中技
29,1年经验,大专
30,3-4年经验,大专
31,1年经验,高中
32,1年经验,大专
33,在校生/应届生,高中
34,2年经验,大专
35,1年经验,大专
36,1年经验,大专
37,无需经验,本科
38,1年经验,大专
39,1年经验,大专
40,在校生/应届生,中专
41,1年经验,本科
42,本科,无学历要求
43,2年经验,本科
44,3-4年经验,本科
45,在校生/应届生,中专
46,1年经验,中技
47,1年经验,本科
48,5-7年经验,本科
49,在校生/应届生,大专
50,无需经验,本科
51,在校生/应届生,本科
52,大专,无学历要求
53,2年经验,本科
54,1年经验,大专
55,3-4年经验,大专
56,2年经验,高中
57,3-4年经验,大专
58,1年经验,大专
59,1年经验,大专
60,2年经验,本科
61,1年经验,大专
62,1年经验,大专
63,1年经验,本科
64,3-4年经验,本科
65,在校生/应届生,本科
66,在校生/应届生,本科
67,1年经验,大专
68,1年经验,初中及以下
69,1年经验,大专
70,2年经验,大专
71,在校生/应届生,大专
72,3-4年经验,无学历要求
73,3-4年经验,本科
74,大专,无学历要求
75,在校生/应届生,高中
76,2年经验,本科
77,3-4年经验,中专
78,3-4年经验,本科
79,在校生/应届生,中专
80,2年经验,本科
81,3-4年经验,无学历要求
82,3-4年经验,本科
83,3-4年经验,本科
84,5-7年经验,大专
85,在校生/应届生,本科
86,在校生/应届生,本科
87,2年经验,本科
88,5-7年经验,本科
89,2年经验,本科
90,本科,无学历要求
91,1年经验,本科
92,2年经验,本科
93,在校生/应届生,本科
94,2年经验,本科
95,硕士,招2人
96,5-7年经验,本科
97,5-7年经验,本科
98,1年经验,大专
99,1年经验,本科
100,2年经验,本科
101,本科,无学历要求
102,1年经验,大专
103,2年经验,大专
104,1年经验,本科
105,2年经验,本科
106,无需经验,本科
107,2年经验,本科
108,在校生/应届生,大专
109,1年经验,本科
110,1年经验,高中
111,5-7年经验,本科
112,1年经验,大专
113,无需经验,大专
114,3-4年经验,本科
115,3-4年经验,硕士
116,1年经验,本科
117,5-7年经验,本科
118,3-4年经验,本科
119,3-4年经验,大专
120,2年经验,硕士
121,2年经验,本科
122,本科,无学历要求
123,在校生/应届生,本科
124,3-4年经验,本科
125,1年经验,大专
126,1年经验,大专
127,5-7年经验,本科
128,2年经验,大专
129,5-7年经验,本科
130,硕士,无学历要求
131,1年经验,本科
132,1年经验,本科
133,3-4年经验,本科
134,1年经验,无学历要求
135,在校生/应届生,本科
136,本科,无学历要求
137,1年经验,大专
138,2年经验,中技
139,5-7年经验,本科
140,在校生/应届生,本科
141,1年经验,本科
142,1年经验,本科
143,1年经验,本科
144,1年经验,大专
145,本科,无学历要求
146,在校生/应届生,大专
147,1年经验,本科
148,2年经验,本科
149,2年经验,大专
150,1年经验,大专
151,2年经验,大专
152,大专,无学历要求
153,硕士,无学历要求
154,2年经验,本科
155,3-4年经验,本科
156,2年经验,本科
157,3-4年经验,本科
158,大专,招2人
159,1年经验,大专
160,1年经验,本科
161,1年经验,大专
162,无需经验,中专
163,大专,招2人
164,大专,招2人
165,3-4年经验,大专
166,在校生/应届生,本科
167,大专,无学历要求
168,1年经验,本科
169,2年经验,大专
170,2年经验,本科
171,2年经验,本科
172,1年经验,本科
173,1年经验,无学历要求
174,1年经验,大专
175,在校生/应届生,大专
176,1年经验,本科
177,8-9年经验,本科
178,5-7年经验,本科
179,无需经验,本科
180,大专,无学历要求
181,1年经验,本科
182,3-4年经验,大专
183,8-9年经验,本科
184,1年经验,本科
185,3-4年经验,本科
186,3-4年经验,本科
